Year,Month,Product,State,Requirement(in MT),Availability(in MT)
2015-2016,June,SSP,Punjab,0,0
2015-2016,June,DAP,Rajasthan,0,1216.85
2015-2016,June,MAP,Rajasthan,0,0
2015-2016,June,MOP,Rajasthan,0,3298.45
2015-2016,June,NPK,Rajasthan,0,836.95
2015-2016,June,TSP,Rajasthan,0,3526.25
2015-2016,June,UREA,Rajasthan,0,3076.05
2015-2016,June,SSP,Rajasthan,0,0
2015-2016,June,DAP,Tamil Nadu,0,15972.4
2015-2016,June,MAP,Tamil Nadu,0,0
2015-2016,June,MOP,Tamil Nadu,0,5848.8
2015-2016,June,NPK,Tamil Nadu,0,32842.07
2015-2016,June,TSP,Tamil Nadu,0,0
2015-2016,June,UREA,Tamil Nadu,0,240.08
2015-2016,June,SSP,Tamil Nadu,0,0
2015-2016,June,DAP,Telangana,50000,10711.45
2015-2016,June,MAP,Telangana,0,0
2015-2016,June,MOP,Telangana,10000,8376.05
2015-2016,June,NPK,Telangana,95000,39575.67
2015-2016,June,TSP,Telangana,0,0
2015-2016,June,UREA,Telangana,160000,11160.9
2015-2016,June,SSP,Telangana,0,0
2015-2016,June,DAP,Tripura,0,3.55
2015-2016,June,MAP,Tripura,0,0
2015-2016,June,MOP,Tripura,0,0
2015-2016,June,NPK,Tripura,0,5.65
2015-2016,June,TSP,Tripura,0,0
2015-2016,June,UREA,Tripura,0,0
2015-2016,June,SSP,Tripura,0,0
2015-2016,June,DAP,Uttar Pradesh,120000,88972.83
2015-2016,June,MAP,Uttar Pradesh,0,0
2015-2016,June,MOP,Uttar Pradesh,12000,43005.35
2015-2016,June,NPK,Uttar Pradesh,100000,32670.2
2015-2016,June,TSP,Uttar Pradesh,0,16125.25
2015-2016,June,UREA,Uttar Pradesh,500000,174901.95
2015-2016,June,SSP,Uttar Pradesh,0,0
2015-2016,June,DAP,Uttaranchal,0,3571.65
2015-2016,June,MAP,Uttaranchal,0,0
2015-2016,June,MOP,Uttaranchal,0,0.3
2015-2016,June,NPK,Uttaranchal,0,1679.5
2015-2016,June,TSP,Uttaranchal,0,0
2015-2016,June,UREA,Uttaranchal,0,4982.4
2015-2016,June,SSP,Uttaranchal,0,0
2015-2016,June,DAP,West Bengal,0,16301.96
2015-2016,June,MAP,West Bengal,0,0
2015-2016,June,MOP,West Bengal,0,41809.7
2015-2016,June,NPK,West Bengal,0,130624.78
2015-2016,June,TSP,West Bengal,0,7377.55
2015-2016,June,UREA,West Bengal,0,37071.19
2015-2016,June,SSP,West Bengal,0,0
2015-2016,July,DAP,Andaman & Nicobar,0,0
2015-2016,July,MAP,Andaman & Nicobar,0,0
2015-2016,July,MOP,Andaman & Nicobar,0,0
2015-2016,July,NPK,Andaman & Nicobar,0,0
2015-2016,July,TSP,Andaman & Nicobar,0,0
2015-2016,July,UREA,Andaman & Nicobar,0,0
2015-2016,July,SSP,Andaman & Nicobar,0,0
2015-2016,July,DAP,Andhra Pradesh,0,8554.47
2015-2016,July,MAP,Andhra Pradesh,0,0
2015-2016,July,MOP,Andhra Pradesh,0,13701.3
2015-2016,July,NPK,Andhra Pradesh,0,48997.03
2015-2016,July,TSP,Andhra Pradesh,0,0
2015-2016,July,UREA,Andhra Pradesh,0,14049.05
2015-2016,July,SSP,Andhra Pradesh,0,0
2015-2016,July,DAP,Arunachal Pradesh,0,0
2015-2016,July,MAP,Arunachal Pradesh,0,0
2015-2016,July,MOP,Arunachal Pradesh,0,0
2015-2016,July,NPK,Arunachal Pradesh,0,0
2015-2016,July,TSP,Arunachal Pradesh,0,0
2015-2016,July,UREA,Arunachal Pradesh,0,0
2015-2016,July,SSP,Arunachal Pradesh,0,0
2015-2016,July,DAP,Assam,0,4548.75
2015-2016,July,MAP,Assam,0,0
2015-2016,July,MOP,Assam,0,1713.45
2015-2016,July,NPK,Assam,0,3643.45
2015-2016,July,TSP,Assam,0,0
2015-2016,July,UREA,Assam,0,1151.4
2015-2016,July,SSP,Assam,0,0
2015-2016,July,DAP,Bihar,0,22472.65
2015-2016,July,MAP,Bihar,0,0
2015-2016,July,MOP,Bihar,0,22866.7
2015-2016,July,NPK,Bihar,0,49151
2015-2016,July,TSP,Bihar,0,7673.75
2015-2016,July,UREA,Bihar,0,11614.2
2015-2016,July,SSP,Bihar,0,0
2015-2016,July,DAP,Chandigarh,0,0
2015-2016,July,MAP,Chandigarh,0,0
2015-2016,July,MOP,Chandigarh,0,0
2015-2016,July,NPK,Chandigarh,0,0
2015-2016,July,TSP,Chandigarh,0,0
2015-2016,July,UREA,Chandigarh,0,0
2015-2016,July,SSP,Chandigarh,0,0
2015-2016,July,DAP,Chattishgarh,0,19358.66
2015-2016,July,MAP,Chattishgarh,0,0
2015-2016,July,MOP,Chattishgarh,0,14243.8
2015-2016,July,NPK,Chattishgarh,0,9676.84
2015-2016,July,TSP,Chattishgarh,0,3858.25
2015-2016,July,UREA,Chattishgarh,0,5004.75
2015-2016,July,SSP,Chattishgarh,0,0
2015-2016,July,DAP,Dadra & Nagar Haveli,0,493.8
2015-2016,July,MAP,Dadra & Nagar Haveli,0,0
2015-2016,July,MOP,Dadra & Nagar Haveli,0,0
2015-2016,July,NPK,Dadra & Nagar Haveli,0,0
2015-2016,July,TSP,Dadra & Nagar Haveli,0,0
2015-2016,July,UREA,Dadra & Nagar Haveli,0,476.8
2015-2016,July,SSP,Dadra & Nagar Haveli,0,0
2015-2016,July,DAP,Daman & Diu,0,0
2015-2016,July,MAP,Daman & Diu,0,0
2015-2016,July,MOP,Daman & Diu,0,0
2015-2016,July,NPK,Daman & Diu,0,0
2015-2016,July,TSP,Daman & Diu,0,0
2015-2016,July,UREA,Daman & Diu,0,0
2015-2016,July,SSP,Daman & Diu,0,0
2015-2016,July,DAP,Delhi,800,0
2015-2016,July,MAP,Delhi,0,0
2015-2016,July,MOP,Delhi,200,0
2015-2016,July,NPK,Delhi,0,0
2015-2016,July,TSP,Delhi,0,0
2015-2016,July,UREA,Delhi,900,0
2015-2016,July,SSP,Delhi,0,0
2015-2016,July,DAP,Goa,0,31.5
2015-2016,July,MAP,Goa,0,0
2015-2016,July,MOP,Goa,0,60.7
2015-2016,July,NPK,Goa,0,45.9
2015-2016,July,TSP,Goa,0,0
2015-2016,July,UREA,Goa,0,17.25
2015-2016,July,SSP,Goa,0,0
2015-2016,July,DAP,Gujarat,0,22028.9
2015-2016,July,MAP,Gujarat,0,0
2015-2016,July,MOP,Gujarat,0,8230.45
2015-2016,July,NPK,Gujarat,0,28845.15
2015-2016,July,TSP,Gujarat,0,6313.85
2015-2016,July,UREA,Gujarat,0,7005.29
2015-2016,July,SSP,Gujarat,0,0
2015-2016,July,DAP,Harayana,0,15698.8
2015-2016,July,MAP,Harayana,0,0
2015-2016,July,MOP,Harayana,0,7334.5
2015-2016,July,NPK,Harayana,0,1879.8
2015-2016,July,TSP,Harayana,0,0
2015-2016,July,UREA,Harayana,0,2772.95
2015-2016,July,SSP,Harayana,0,0
2015-2016,July,DAP,Himachal Pradesh,0,0
2015-2016,July,MAP,Himachal Pradesh,0,0
2015-2016,July,MOP,Himachal Pradesh,0,0
2015-2016,July,NPK,Himachal Pradesh,0,72.75
2015-2016,July,TSP,Himachal Pradesh,0,0
2015-2016,July,UREA,Himachal Pradesh,0,93
2015-2016,July,SSP,Himachal Pradesh,0,0
2015-2016,July,DAP,Jammu & Kashmir,0,6710.25
2015-2016,July,MAP,Jammu & Kashmir,0,0
2015-2016,July,MOP,Jammu & Kashmir,0,3812.8
2015-2016,July,NPK,Jammu & Kashmir,0,67.5
2015-2016,July,TSP,Jammu & Kashmir,0,0
2015-2016,July,UREA,Jammu & Kashmir,0,1850.4
2015-2016,July,SSP,Jammu & Kashmir,0,0
2015-2016,July,DAP,Jharkhand,0,4310.45
2015-2016,July,MAP,Jharkhand,0,0
2015-2016,July,MOP,Jharkhand,0,486.45
2015-2016,July,NPK,Jharkhand,0,6087.1
2015-2016,July,TSP,Jharkhand,0,0
2015-2016,July,UREA,Jharkhand,0,7800.7
2015-2016,July,SSP,Jharkhand,0,0
2015-2016,July,DAP,Karnataka,80000,32496.86
2015-2016,July,MAP,Karnataka,0,0
2015-2016,July,MOP,Karnataka,55000,31298.1
2015-2016,July,NPK,Karnataka,130050,117328.81
2015-2016,July,TSP,Karnataka,0,11884.85
2015-2016,July,UREA,Karnataka,170000,19002.17
2015-2016,July,SSP,Karnataka,10000,0
2015-2016,July,DAP,Kerala,0,3572.65
2015-2016,July,MAP,Kerala,0,0
2015-2016,July,MOP,Kerala,0,5632.33
2015-2016,July,NPK,Kerala,0,14810.3
2015-2016,July,TSP,Kerala,0,3156.75
2015-2016,July,UREA,Kerala,0,702.7
2015-2016,July,SSP,Kerala,0,0
2015-2016,July,DAP,Madhya Pradesh,0,46409.36
2015-2016,July,MAP,Madhya Pradesh,0,0
2015-2016,July,MOP,Madhya Pradesh,0,24906.5
2015-2016,July,NPK,Madhya Pradesh,0,12257.65
2015-2016,July,TSP,Madhya Pradesh,0,8443.85
2015-2016,July,UREA,Madhya Pradesh,0,11826
2015-2016,July,SSP,Madhya Pradesh,0,0
2015-2016,July,DAP,Maharastra,0,25589.52
2015-2016,July,MAP,Maharastra,0,0
2015-2016,July,MOP,Maharastra,0,49035.25
2015-2016,July,NPK,Maharastra,0,111090.23
2015-2016,July,TSP,Maharastra,0,0
2015-2016,July,UREA,Maharastra,0,14180
2015-2016,July,SSP,Maharastra,0,0
2015-2016,July,DAP,Manipur,0,0
2015-2016,July,MAP,Manipur,0,0
2015-2016,July,MOP,Manipur,0,0
2015-2016,July,NPK,Manipur,0,0
2015-2016,July,TSP,Manipur,0,0
2015-2016,July,UREA,Manipur,0,0
2015-2016,July,SSP,Manipur,0,0
2015-2016,July,DAP,Megalaya,0,0
2015-2016,July,MAP,Megalaya,0,0
2015-2016,July,MOP,Megalaya,0,0
2015-2016,July,NPK,Megalaya,0,0
2015-2016,July,TSP,Megalaya,0,0
2015-2016,July,UREA,Megalaya,0,0
2015-2016,July,SSP,Megalaya,0,0
2015-2016,July,DAP,Mizoram,0,0
2015-2016,July,MAP,Mizoram,0,0
2015-2016,July,MOP,Mizoram,0,0
2015-2016,July,NPK,Mizoram,0,0
2015-2016,July,TSP,Mizoram,0,0
2015-2016,July,UREA,Mizoram,0,0
2015-2016,July,SSP,Mizoram,0,0
2015-2016,July,DAP,Nagaland,0,0
2015-2016,July,MAP,Nagaland,0,0
2015-2016,July,MOP,Nagaland,0,0
2015-2016,July,NPK,Nagaland,0,0
2015-2016,July,TSP,Nagaland,0,0
2015-2016,July,UREA,Nagaland,0,0
2015-2016,July,SSP,Nagaland,0,0
2015-2016,July,DAP,Orissa,0,11335.39
2015-2016,July,MAP,Orissa,0,0
2015-2016,July,MOP,Orissa,0,9876.35
2015-2016,July,NPK,Orissa,0,27082.22
2015-2016,July,TSP,Orissa,0,0
2015-2016,July,UREA,Orissa,0,8179.05
2015-2016,July,SSP,Orissa,0,0
2015-2016,July,DAP,Pondicherry,0,36
2015-2016,July,MAP,Pondicherry,0,0
2015-2016,July,MOP,Pondicherry,0,33.15
2015-2016,July,NPK,Pondicherry,0,351.8
2015-2016,July,TSP,Pondicherry,0,0
2015-2016,July,UREA,Pondicherry,0,0
2015-2016,July,SSP,Pondicherry,0,0
2015-2016,July,DAP,Punjab,0,36722.65
2015-2016,July,MAP,Punjab,0,0
2015-2016,July,MOP,Punjab,0,19103.7
2015-2016,July,NPK,Punjab,0,503.32
2015-2016,July,TSP,Punjab,0,3355.3
2015-2016,July,UREA,Punjab,0,5761.75
2015-2016,July,SSP,Punjab,0,0
2015-2016,July,DAP,Rajasthan,0,8711.92
2015-2016,July,MAP,Rajasthan,0,0
2015-2016,July,MOP,Rajasthan,0,2765.85
2015-2016,July,NPK,Rajasthan,0,565.2
2015-2016,July,TSP,Rajasthan,0,3526.25
2015-2016,July,UREA,Rajasthan,0,1924.25
2015-2016,July,SSP,Rajasthan,0,0
2015-2016,July,DAP,Tamil Nadu,0,18493.1
2015-2016,July,MAP,Tamil Nadu,0,0
2015-2016,July,MOP,Tamil Nadu,0,5520.9
2015-2016,July,NPK,Tamil Nadu,0,37272.22
2015-2016,July,TSP,Tamil Nadu,0,0
2015-2016,July,UREA,Tamil Nadu,0,1800.25
2015-2016,July,SSP,Tamil Nadu,0,0
2015-2016,July,DAP,Tripura,0,3.55
2015-2016,July,MAP,Tripura,0,0
2015-2016,July,MOP,Tripura,0,0
2015-2016,July,NPK,Tripura,0,5.65
2015-2016,July,TSP,Tripura,0,0
2015-2016,July,UREA,Tripura,0,0
2015-2016,July,SSP,Tripura,0,0
2015-2016,July,DAP,Telangana,40000,10992.95
2015-2016,July,MAP,Telangana,0,0
2015-2016,July,MOP,Telangana,25000,6420.88
2015-2016,July,NPK,Telangana,105000,39439.34
2015-2016,July,TSP,Telangana,0,0
2015-2016,July,UREA,Telangana,150000,5816.2
2015-2016,July,SSP,Telangana,0,0
2015-2016,July,DAP,Uttar Pradesh,120000,139987.48
2015-2016,July,MAP,Uttar Pradesh,0,0
2015-2016,July,MOP,Uttar Pradesh,10000,44565.25
2015-2016,July,NPK,Uttar Pradesh,55000,22317.7
2015-2016,July,TSP,Uttar Pradesh,0,16125.25
2015-2016,July,UREA,Uttar Pradesh,450000,133668.25
2015-2016,July,SSP,Uttar Pradesh,0,0
2015-2016,July,DAP,Uttaranchal,0,3054.8
2015-2016,July,MAP,Uttaranchal,0,0
2015-2016,July,MOP,Uttaranchal,0,0.3
2015-2016,July,NPK,Uttaranchal,0,800.1
2015-2016,July,TSP,Uttaranchal,0,0
2015-2016,July,UREA,Uttaranchal,0,4362.35
2015-2016,July,SSP,Uttaranchal,0,0
2015-2016,July,DAP,West Bengal,0,12583.66
2015-2016,July,MAP,West Bengal,0,0
2015-2016,July,MOP,West Bengal,0,30440.85
2015-2016,July,NPK,West Bengal,0,127619.33
2015-2016,July,TSP,West Bengal,0,7377.55
2015-2016,July,UREA,West Bengal,0,9864.39
2015-2016,July,SSP,West Bengal,0,0
2015-2016,August,DAP,Andaman & Nicobar,0,0
2015-2016,August,MAP,Andaman & Nicobar,0,0
2015-2016,August,MOP,Andaman & Nicobar,0,0
2015-2016,August,NPK,Andaman & Nicobar,0,0
2015-2016,August,TSP,Andaman & Nicobar,0,0
2015-2016,August,UREA,Andaman & Nicobar,0,0
2015-2016,August,SSP,Andaman & Nicobar,0,0
2015-2016,August,DAP,Andhra Pradesh,0,20854.17
2015-2016,August,MAP,Andhra Pradesh,0,0
2015-2016,August,MOP,Andhra Pradesh,0,19181
2015-2016,August,NPK,Andhra Pradesh,0,57956.76
2015-2016,August,TSP,Andhra Pradesh,0,0
2015-2016,August,UREA,Andhra Pradesh,0,10137.7
2015-2016,August,SSP,Andhra Pradesh,0,0
2015-2016,August,DAP,Arunachal Pradesh,0,0
2015-2016,August,MAP,Arunachal Pradesh,0,0
2015-2016,August,MOP,Arunachal Pradesh,0,0
2015-2016,August,NPK,Arunachal Pradesh,0,0
2015-2016,August,TSP,Arunachal Pradesh,0,0
2015-2016,August,UREA,Arunachal Pradesh,0,0
2015-2016,August,SSP,Arunachal Pradesh,0,0
2015-2016,August,DAP,Assam,0,3374.75
2015-2016,August,MAP,Assam,0,0
2015-2016,August,MOP,Assam,0,6328
2015-2016,August,NPK,Assam,0,2813.65
2015-2016,August,TSP,Assam,0,0
2015-2016,August,UREA,Assam,0,799
2015-2016,August,SSP,Assam,0,0
2015-2016,August,DAP,Bihar,0,42483.2
2015-2016,August,MAP,Bihar,0,0
2015-2016,August,MOP,Bihar,0,26252.95
2015-2016,August,NPK,Bihar,0,58190.3
2015-2016,August,TSP,Bihar,0,7673.75
2015-2016,August,UREA,Bihar,0,5321.15
2015-2016,August,SSP,Bihar,0,0
2015-2016,August,DAP,Chandigarh,0,0
2015-2016,August,MAP,Chandigarh,0,0
2015-2016,August,MOP,Chandigarh,0,0
2015-2016,August,NPK,Chandigarh,0,0
2015-2016,August,TSP,Chandigarh,0,0
2015-2016,August,UREA,Chandigarh,0,0
2015-2016,August,SSP,Chandigarh,0,0
2015-2016,August,DAP,Chattishgarh,0,17988.66
2015-2016,August,MAP,Chattishgarh,0,0
2015-2016,August,MOP,Chattishgarh,0,25447.25
2015-2016,August,NPK,Chattishgarh,0,6536.84
2015-2016,August,TSP,Chattishgarh,0,3858.25
2015-2016,August,UREA,Chattishgarh,0,5803.55
2015-2016,August,SSP,Chattishgarh,0,0
2015-2016,August,DAP,Dadra & Nagar Haveli,0,19.8
2015-2016,August,MAP,Dadra & Nagar Haveli,0,0
2015-2016,August,MOP,Dadra & Nagar Haveli,0,0
2015-2016,August,NPK,Dadra & Nagar Haveli,0,4.9
2015-2016,August,TSP,Dadra & Nagar Haveli,0,0
2015-2016,August,UREA,Dadra & Nagar Haveli,0,6
2015-2016,August,SSP,Dadra & Nagar Haveli,0,0
2015-2016,August,DAP,Daman & Diu,0,0
2015-2016,August,MAP,Daman & Diu,0,0
2015-2016,August,MOP,Daman & Diu,0,0
2015-2016,August,NPK,Daman & Diu,0,0
2015-2016,August,TSP,Daman & Diu,0,0
2015-2016,August,UREA,Daman & Diu,0,0
2015-2016,August,SSP,Daman & Diu,0,0
2015-2016,August,DAP,Delhi,400,0
2015-2016,August,MAP,Delhi,0,0
2015-2016,August,MOP,Delhi,100,0
2015-2016,August,NPK,Delhi,0,0
2015-2016,August,TSP,Delhi,0,0
2015-2016,August,UREA,Delhi,300,0
2015-2016,August,SSP,Delhi,0,0
2015-2016,August,DAP,Goa,0,21.3
2015-2016,August,MAP,Goa,0,0
2015-2016,August,MOP,Goa,0,0
2015-2016,August,NPK,Goa,0,11.4
2015-2016,August,TSP,Goa,0,0
2015-2016,August,UREA,Goa,0,7.2
2015-2016,August,SSP,Goa,0,0
2015-2016,August,DAP,Gujarat,0,44507.93
2015-2016,August,MAP,Gujarat,0,0
2015-2016,August,MOP,Gujarat,0,2594.55
2015-2016,August,NPK,Gujarat,0,38914.2
2015-2016,August,TSP,Gujarat,0,6313.85
2015-2016,August,UREA,Gujarat,0,7151.19
2015-2016,August,SSP,Gujarat,0,0
2015-2016,August,DAP,Harayana,0,29736
2015-2016,August,MAP,Harayana,0,0
2015-2016,August,MOP,Harayana,0,8481.25
2015-2016,August,NPK,Harayana,0,4103.9
2015-2016,August,TSP,Harayana,0,0
2015-2016,August,UREA,Harayana,0,7914.45
2015-2016,August,SSP,Harayana,0,0
2015-2016,August,DAP,Himachal Pradesh,0,0
2015-2016,August,MAP,Himachal Pradesh,0,0
2015-2016,August,MOP,Himachal Pradesh,0,0
2015-2016,August,NPK,Himachal Pradesh,0,26.35
2015-2016,August,TSP,Himachal Pradesh,0,0
2015-2016,August,UREA,Himachal Pradesh,0,86.15
2015-2016,August,SSP,Himachal Pradesh,0,0
2015-2016,August,DAP,Jammu & Kashmir,0,4946.05
2015-2016,August,MAP,Jammu & Kashmir,0,0
2015-2016,August,MOP,Jammu & Kashmir,0,3638.8
2015-2016,August,NPK,Jammu & Kashmir,0,0
2015-2016,August,TSP,Jammu & Kashmir,0,0
2015-2016,August,UREA,Jammu & Kashmir,0,550.5
2015-2016,August,SSP,Jammu & Kashmir,0,0
2015-2016,August,DAP,Jharkhand,0,4298.1
2015-2016,August,MAP,Jharkhand,0,0
2015-2016,August,MOP,Jharkhand,0,1474.95
2015-2016,August,NPK,Jharkhand,0,6400.45
2015-2016,August,TSP,Jharkhand,0,0
2015-2016,August,UREA,Jharkhand,0,5779.6
2015-2016,August,SSP,Jharkhand,0,0
2015-2016,August,DAP,Karnataka,60000,42857.67
2015-2016,August,MAP,Karnataka,0,0
2015-2016,August,MOP,Karnataka,30000,48996.36
2015-2016,August,NPK,Karnataka,152500,122920.28
2015-2016,August,TSP,Karnataka,0,11884.85
2015-2016,August,UREA,Karnataka,160000,10690.97
2015-2016,August,SSP,Karnataka,20000,0
2015-2016,August,DAP,Kerala,0,3572.35
2015-2016,August,MAP,Kerala,0,0
2015-2016,August,MOP,Kerala,0,7591.67
2015-2016,August,NPK,Kerala,0,13582.43
2015-2016,August,TSP,Kerala,0,3156.75
2015-2016,August,UREA,Kerala,0,1994.95
2015-2016,August,SSP,Kerala,0,0
2015-2016,August,DAP,Lakshadweep,0,0
2015-2016,August,MAP,Lakshadweep,0,0
2015-2016,August,MOP,Lakshadweep,0,0
2015-2016,August,NPK,Lakshadweep,0,0
2015-2016,August,TSP,Lakshadweep,0,0
2015-2016,August,UREA,Lakshadweep,0,0
2015-2016,August,SSP,Lakshadweep,0,0
2015-2016,August,DAP,Madhya Pradesh,0,123474.96
2015-2016,August,MAP,Madhya Pradesh,0,0
2015-2016,August,MOP,Madhya Pradesh,0,36360.95
2015-2016,August,NPK,Madhya Pradesh,0,20406.9
2015-2016,August,TSP,Madhya Pradesh,0,8443.85
2015-2016,August,UREA,Madhya Pradesh,0,32996
2015-2016,August,SSP,Madhya Pradesh,0,0
2015-2016,August,DAP,Maharastra,0,56520.52
2015-2016,August,MAP,Maharastra,0,0
2015-2016,August,MOP,Maharastra,0,74183.7
2015-2016,August,NPK,Maharastra,0,173441.08
2015-2016,August,TSP,Maharastra,0,0
2015-2016,August,UREA,Maharastra,0,30667.7
2015-2016,August,SSP,Maharastra,0,0
2015-2016,August,DAP,Manipur,0,0
2015-2016,August,MAP,Manipur,0,0
2015-2016,August,MOP,Manipur,0,0
2015-2016,August,NPK,Manipur,0,0
2015-2016,August,TSP,Manipur,0,0
2015-2016,August,UREA,Manipur,0,0
2015-2016,August,SSP,Manipur,0,0
2015-2016,August,DAP,Megalaya,0,0
2015-2016,August,MAP,Megalaya,0,0
2015-2016,August,MOP,Megalaya,0,0
2015-2016,August,NPK,Megalaya,0,0
2015-2016,August,TSP,Megalaya,0,0
2015-2016,August,UREA,Megalaya,0,0
2015-2016,August,SSP,Megalaya,0,0
2015-2016,August,DAP,Mizoram,0,0
2015-2016,August,MAP,Mizoram,0,0
2015-2016,August,MOP,Mizoram,0,0
2015-2016,August,NPK,Mizoram,0,0
2015-2016,August,TSP,Mizoram,0,0
2015-2016,August,UREA,Mizoram,0,0
2015-2016,August,SSP,Mizoram,0,0
2015-2016,August,DAP,Nagaland,0,0
2015-2016,August,MAP,Nagaland,0,0
2015-2016,August,MOP,Nagaland,0,0
2015-2016,August,NPK,Nagaland,0,0
2015-2016,August,TSP,Nagaland,0,0
2015-2016,August,UREA,Nagaland,0,0
2015-2016,August,SSP,Nagaland,0,0
2015-2016,August,DAP,Orissa,0,11521.89
2015-2016,August,MAP,Orissa,0,0
2015-2016,August,MOP,Orissa,0,9659.25
2015-2016,August,NPK,Orissa,0,27256.37
2015-2016,August,TSP,Orissa,0,0
2015-2016,August,UREA,Orissa,0,8300.9
2015-2016,August,SSP,Orissa,0,0
2015-2016,August,DAP,Pondicherry,0,36
2015-2016,August,MAP,Pondicherry,0,0
2015-2016,August,MOP,Pondicherry,0,0
2015-2016,August,NPK,Pondicherry,0,230.8
2015-2016,August,TSP,Pondicherry,0,0
2015-2016,August,UREA,Pondicherry,0,50
2015-2016,August,SSP,Pondicherry,0,0
2015-2016,August,DAP,Punjab,0,34289.25
2015-2016,August,MAP,Punjab,0,0
2015-2016,August,MOP,Punjab,0,27644.45
2015-2016,August,NPK,Punjab,0,767.92
2015-2016,August,TSP,Punjab,0,3355.3
2015-2016,August,UREA,Punjab,0,7674.55
2015-2016,August,SSP,Punjab,0,0
2015-2016,August,DAP,Rajasthan,0,10711.17
2015-2016,August,MAP,Rajasthan,0,0
2015-2016,August,MOP,Rajasthan,0,2517.3
2015-2016,August,NPK,Rajasthan,0,494.65
2015-2016,August,TSP,Rajasthan,0,3526.25
2015-2016,August,UREA,Rajasthan,0,5817.4
2015-2016,August,SSP,Rajasthan,0,0
2015-2016,August,DAP,Sikkim,0,0
2015-2016,August,MAP,Sikkim,0,0
2015-2016,August,MOP,Sikkim,0,0
2015-2016,August,NPK,Sikkim,0,0
2015-2016,August,TSP,Sikkim,0,0
2015-2016,August,UREA,Sikkim,0,0
2015-2016,August,SSP,Sikkim,0,0
2015-2016,August,DAP,Tamil Nadu,0,13861.3
2015-2016,August,MAP,Tamil Nadu,0,0
2015-2016,August,MOP,Tamil Nadu,0,4163
2015-2016,August,NPK,Tamil Nadu,0,33547.92
2015-2016,August,TSP,Tamil Nadu,0,0
2015-2016,August,UREA,Tamil Nadu,0,92.7
2015-2016,August,SSP,Tamil Nadu,0,0
2015-2016,August,DAP,Tripura,0,1.95
2015-2016,August,MAP,Tripura,0,0
2015-2016,August,MOP,Tripura,0,0
2015-2016,August,NPK,Tripura,0,0
2015-2016,August,TSP,Tripura,0,0
2015-2016,August,UREA,Tripura,0,0
2015-2016,August,SSP,Tripura,0,0
2015-2016,August,DAP,Telangana,30000,9590.8
2015-2016,August,MAP,Telangana,0,0
2015-2016,August,MOP,Telangana,30000,8640.63
2015-2016,August,NPK,Telangana,100000,51061.45
2015-2016,August,TSP,Telangana,0,0
2015-2016,August,UREA,Telangana,200000,3898.9
2015-2016,August,SSP,Telangana,15000,0
2015-2016,August,DAP,Uttar Pradesh,110000,224299.33
2015-2016,August,MAP,Uttar Pradesh,0,0
2015-2016,August,MOP,Uttar Pradesh,10000,56627.75
2015-2016,August,NPK,Uttar Pradesh,50000,50379.55
2015-2016,August,TSP,Uttar Pradesh,0,16125.25
2015-2016,August,UREA,Uttar Pradesh,400000,73126.9
2015-2016,August,DAP,Uttaranchal,0,2625.75
2015-2016,August,MAP,Uttaranchal,0,0
2015-2016,August,MOP,Uttaranchal,0,0.3
2015-2016,August,NPK,Uttaranchal,0,2394.65
2015-2016,August,TSP,Uttaranchal,0,1254.75
2015-2016,August,UREA,Uttaranchal,0,0
2015-2016,August,SSP,Uttaranchal,0,0
2015-2016,August,DAP,West Bengal,0,33454.86
2015-2016,August,MAP,West Bengal,0,0
2015-2016,August,MOP,West Bengal,0,33795.55
2015-2016,August,NPK,West Bengal,0,143690.13
2015-2016,August,TSP,West Bengal,0,7377.55
2015-2016,August,UREA,West Bengal,0,11640.04
2015-2016,August,SSP,West Bengal,0,0
