Year,Month,Product,State,Requirement(in' MT),Availability(in' MT)
2015-2016,October,DAP,Dadra & Nagar Haveli,0.00,11.05
2015-2016,October,MAP,Dadra & Nagar Haveli,0.00,0.00
2015-2016,October,MOP,Dadra & Nagar Haveli,0.00,0.00
2015-2016,October,NPK,Dadra & Nagar Haveli,0.00,0.00
2015-2016,October,TSP,Dadra & Nagar Haveli,0.00,0.00
2015-2016,October,UREA,Dadra & Nagar Haveli,0.00,3.75
2015-2016,October,SSP,Dadra & Nagar Haveli,0.00,0.00
2015-2016,October,DAP,Daman & Diu,0.00,0.00
2015-2016,October,MAP,Daman & Diu,0.00,0.00
2015-2016,October,MOP,Daman & Diu,0.00,0.00
2015-2016,October,NPK,Daman & Diu,0.00,0.00
2015-2016,October,TSP,Daman & Diu,0.00,0.00
2015-2016,October,UREA,Daman & Diu,0.00,0.00
2015-2016,October,SSP,Daman & Diu,0.00,0.00
2015-2016,October,DAP,Delhi,1200.00,0.00
2015-2016,October,MAP,Delhi,0.00,0.00
2015-2016,October,MOP,Delhi,600.00,0.00
2015-2016,October,NPK,Delhi,0.00,0.00
2015-2016,October,TSP,Delhi,0.00,0.00
2015-2016,October,UREA,Delhi,2000.00,0.00
2015-2016,October,SSP,Delhi,0.00,0.00
2015-2016,October,DAP,Goa,0.00,21.10
2015-2016,October,MAP,Goa,0.00,0.00
2015-2016,October,MOP,Goa,0.00,0.00
2015-2016,October,NPK,Goa,0.00,12.30
2015-2016,October,TSP,Goa,0.00,0.00
2015-2016,October,UREA,Goa,0.00,10.35
2015-2016,October,SSP,Goa,0.00,0.00
2015-2016,October,DAP,Gujarat,0.00,30873.88
2015-2016,October,MAP,Gujarat,0.00,0.00
2015-2016,October,MOP,Gujarat,0.00,1946.55
2015-2016,October,NPK,Gujarat,0.00,38406.61
2015-2016,October,TSP,Gujarat,0.00,6313.85
2015-2016,October,UREA,Gujarat,0.00,44877.89
2015-2016,October,SSP,Gujarat,0.00,0.00
2015-2016,October,DAP,Harayana,0.00,71338.63
2015-2016,October,MAP,Harayana,0.00,0.00
2015-2016,October,MOP,Harayana,0.00,9347.85
2015-2016,October,NPK,Harayana,0.00,11538.25
2015-2016,October,TSP,Harayana,0.00,0.00
2015-2016,October,UREA,Harayana,0.00,12862.05
2015-2016,October,SSP,Harayana,0.00,0.00
2015-2016,October,DAP,Himachal Pradesh,0.00,0.00
2015-2016,October,MAP,Himachal Pradesh,0.00,0.00
2015-2016,October,MOP,Himachal Pradesh,0.00,0.00
2015-2016,October,NPK,Himachal Pradesh,0.00,1742.20
2015-2016,October,TSP,Himachal Pradesh,0.00,0.00
2015-2016,October,UREA,Himachal Pradesh,0.00,91.20
2015-2016,October,SSP,Himachal Pradesh,0.00,0.00
2015-2016,October,DAP,Jammu & Kashmir,0.00,5118.35
2015-2016,October,MAP,Jammu & Kashmir,0.00,0.00
2015-2016,October,MOP,Jammu & Kashmir,0.00,3436.55
2015-2016,October,NPK,Jammu & Kashmir,0.00,0.00
2015-2016,October,TSP,Jammu & Kashmir,0.00,0.00
2015-2016,October,UREA,Jammu & Kashmir,0.00,286.35
2015-2016,October,SSP,Jammu & Kashmir,0.00,0.00
2015-2016,October,DAP,Jharkhand,0.00,8157.40
2015-2016,October,MAP,Jharkhand,0.00,0.00
2015-2016,October,MOP,Jharkhand,0.00,273.75
2015-2016,October,NPK,Jharkhand,0.00,8116.55
2015-2016,October,TSP,Jharkhand,0.00,0.00
2015-2016,October,UREA,Jharkhand,0.00,390.80
2015-2016,October,SSP,Jharkhand,0.00,0.00
2015-2016,October,DAP,Karnataka,28000.00,45167.23
2015-2016,October,MAP,Karnataka,0.00,0.00
2015-2016,October,MOP,Karnataka,25000.00,46665.85
2015-2016,October,NPK,Karnataka,60000.00,124684.59
2015-2016,October,TSP,Karnataka,0.00,11884.85
2015-2016,October,UREA,Karnataka,130000.00,16129.31
2015-2016,October,SSP,Karnataka,8350.00,0.00
2015-2016,October,DAP,Kerala,0.00,3137.55
2015-2016,October,MAP,Kerala,0.00,0.00
2015-2016,October,MOP,Kerala,0.00,4411.44
2015-2016,October,NPK,Kerala,0.00,11304.24
2015-2016,October,TSP,Kerala,0.00,3156.75
2015-2016,October,UREA,Kerala,0.00,109.75
2015-2016,October,SSP,Kerala,0.00,0.00
2015-2016,October,DAP,Lakshadweep,0.00,0.00
2015-2016,October,MAP,Lakshadweep,0.00,0.00
2015-2016,October,MOP,Lakshadweep,0.00,0.00
2015-2016,October,NPK,Lakshadweep,0.00,0.00
2015-2016,October,TSP,Lakshadweep,0.00,0.00
2015-2016,October,UREA,Lakshadweep,0.00,0.00
2015-2016,October,SSP,Lakshadweep,0.00,0.00
2015-2016,October,DAP,Madhya Pradesh,0.00,89513.46
2015-2016,October,MAP,Madhya Pradesh,0.00,0.00
2015-2016,October,MOP,Madhya Pradesh,0.00,27886.60
2015-2016,October,NPK,Madhya Pradesh,0.00,62402.50
2015-2016,October,TSP,Madhya Pradesh,0.00,8443.85
2015-2016,October,UREA,Madhya Pradesh,0.00,16123.60
2015-2016,October,SSP,Madhya Pradesh,0.00,0.00
2015-2016,October,DAP,Maharastra,58330.00,42811.62
2015-2016,October,MAP,Maharastra,0.00,0.00
2015-2016,October,MOP,Maharastra,33330.00,80536.25
2015-2016,October,NPK,Maharastra,166667.00,193231.75
2015-2016,October,TSP,Maharastra,0.00,0.00
2015-2016,October,UREA,Maharastra,191667.00,23694.90
2015-2016,October,SSP,Maharastra,0.00,0.00
2015-2016,October,DAP,Manipur,0.00,
2015-2016,October,MAP,Manipur,0.00,0.00
2015-2016,October,MOP,Manipur,0.00,0.00
2015-2016,October,NPK,Manipur,0.00,0.00
2015-2016,October,TSP,Manipur,0.00,0.00
2015-2016,October,UREA,Manipur,0.00,0.00
2015-2016,October,SSP,Manipur,0.00,0.00
2015-2016,October,DAP,Megalaya,0.00,0.00
2015-2016,October,MAP,Megalaya,0.00,0.00
2015-2016,October,MOP,Megalaya,0.00,0.00
2015-2016,October,NPK,Megalaya,0.00,0.00
2015-2016,October,TSP,Megalaya,0.00,0.00
2015-2016,October,UREA,Megalaya,0.00,0.00
2015-2016,October,SSP,Megalaya,0.00,0.00
2015-2016,October,DAP,Mizoram,0.00,0.00
2015-2016,October,MAP,Mizoram,0.00,0.00
2015-2016,October,MOP,Mizoram,0.00,0.00
2015-2016,October,NPK,Mizoram,0.00,0.00
2015-2016,October,TSP,Mizoram,0.00,0.00
2015-2016,October,UREA,Mizoram,0.00,0.00
2015-2016,October,SSP,Mizoram,0.00,0.00
2015-2016,October,DAP,Nagaland,0.00,0.00
2015-2016,October,MAP,Nagaland,0.00,0.00
2015-2016,October,MOP,Nagaland,0.00,0.00
2015-2016,October,NPK,Nagaland,0.00,0.00
2015-2016,October,TSP,Nagaland,0.00,0.00
2015-2016,October,UREA,Nagaland,0.00,0.00
2015-2016,October,SSP,Nagaland,0.00,0.00
2015-2016,October,DAP,Orissa,0.00,7184.09
2015-2016,October,MAP,Orissa,0.00,0.00
2015-2016,October,MOP,Orissa,0.00,14615.85
2015-2016,October,NPK,Orissa,0.00,18173.87
2015-2016,October,TSP,Orissa,0.00,0.00
2015-2016,October,UREA,Orissa,0.00,10175.91
2015-2016,October,SSP,Orissa,0.00,0.00
2015-2016,October,DAP,Pondicherry,0.00,11.00
2015-2016,October,MAP,Pondicherry,0.00,0.00
2015-2016,October,MOP,Pondicherry,0.00,0.00
2015-2016,October,NPK,Pondicherry,0.00,310.00
2015-2016,October,TSP,Pondicherry,0.00,0.00
2015-2016,October,UREA,Pondicherry,0.00,0.00
2015-2016,October,SSP,Pondicherry,0.00,0.00
2015-2016,October,DAP,Punjab,0.00,62191.00
2015-2016,October,MAP,Punjab,0.00,0.00
2015-2016,October,MOP,Punjab,0.00,19453.55
2015-2016,October,NPK,Punjab,0.00,2221.47
2015-2016,October,TSP,Punjab,0.00,3355.30
2015-2016,October,UREA,Punjab,0.00,4863.80
2015-2016,October,SSP,Punjab,0.00,0.00
2015-2016,October,DAP,Rajasthan,0.00,44038.82
2015-2016,October,MAP,Rajasthan,0.00,0.00
2015-2016,October,MOP,Rajasthan,0.00,5097.05
2015-2016,October,NPK,Rajasthan,0.00,3451.60
2015-2016,October,TSP,Rajasthan,0.00,3526.25
2015-2016,October,UREA,Rajasthan,0.00,1236.60
2015-2016,October,SSP,Rajasthan,1.00,0.00
2015-2016,October,DAP,Sikkim,0.00,0.00
2015-2016,October,MAP,Sikkim,0.00,0.00
2015-2016,October,MOP,Sikkim,0.00,0.00
2015-2016,October,NPK,Sikkim,0.00,0.00
2015-2016,October,TSP,Sikkim,0.00,0.00
2015-2016,October,UREA,Sikkim,0.00,0.00
2015-2016,October,SSP,Sikkim,0.00,0.00
2015-2016,October,DAP,Tamil Nadu,0.00,22332.55
2015-2016,October,MAP,Tamil Nadu,0.00,0.00
2015-2016,October,MOP,Tamil Nadu,0.00,12395.85
2015-2016,October,NPK,Tamil Nadu,0.00,36538.57
2015-2016,October,TSP,Tamil Nadu,0.00,0.00
2015-2016,October,UREA,Tamil Nadu,0.00,1335.90
2015-2016,October,SSP,Tamil Nadu,0.00,0.00
2015-2016,October,DAP,Tripura,0.00,92.20
2015-2016,October,MAP,Tripura,0.00,0.00
2015-2016,October,MOP,Tripura,0.00,79.05
2015-2016,October,NPK,Tripura,0.00,109.00
2015-2016,October,TSP,Tripura,0.00,0.00
2015-2016,October,UREA,Tripura,0.00,0.00
2015-2016,October,SSP,Tripura,0.00,0.00
2015-2016,October,DAP,Telangana,30000.00,10294.60
2015-2016,October,MAP,Telangana,0.00,0.00
2015-2016,October,MOP,Telangana,10000.00,13606.15
2015-2016,October,NPK,Telangana,50000.00,40033.34
2015-2016,October,TSP,Telangana,0.00,0.00
2015-2016,October,UREA,Telangana,110000.00,5369.18
2015-2016,October,SSP,Telangana,7500.00,0.00
2015-2016,October,DAP,Uttar Pradesh,0.00,289654.48
2015-2016,October,MAP,Uttar Pradesh,0.00,0.00
2015-2016,October,MOP,Uttar Pradesh,0.00,63501.35
2015-2016,October,NPK,Uttar Pradesh,0.00,103640.35
2015-2016,October,TSP,Uttar Pradesh,0.00,16125.25
2015-2016,October,UREA,Uttar Pradesh,0.00,106870.40
2015-2016,October,SSP,Uttar Pradesh,0.00,0.00
2015-2016,October,DAP,Uttaranchal,0.00,1470.50
2015-2016,October,MAP,Uttaranchal,0.00,0.00
2015-2016,October,MOP,Uttaranchal,0.00,145.30
2015-2016,October,NPK,Uttaranchal,0.00,3014.45
2015-2016,October,TSP,Uttaranchal,0.00,0.00
2015-2016,October,UREA,Uttaranchal,0.00,5319.30
2015-2016,October,SSP,Uttaranchal,0.00,0.00
2015-2016,October,DAP,West Bengal,0.00,28413.31
2015-2016,October,MAP,West Bengal,0.00,0.00
2015-2016,October,MOP,West Bengal,0.00,41928.55
2015-2016,October,NPK,West Bengal,0.00,132549.06
2015-2016,October,TSP,West Bengal,0.00,7377.55
2015-2016,October,UREA,West Bengal,0.00,10178.56
2015-2016,October,SSP,West Bengal,0.00,0.00
2015-2016,November,DAP,Andaman & Nicobar,0.00,0.00
2015-2016,November,MAP,Andaman & Nicobar,0.00,0.00
2015-2016,November,MOP,Andaman & Nicobar,0.00,0.00
2015-2016,November,NPK,Andaman & Nicobar,0.00,0.00
2015-2016,November,TSP,Andaman & Nicobar,0.00,0.00
2015-2016,November,UREA,Andaman & Nicobar,0.00,0.00
2015-2016,November,SSP,Andaman & Nicobar,0.00,0.00
2015-2016,November,DAP,Andhra Pradesh,0.00,15164.67
2015-2016,November,MAP,Andhra Pradesh,0.00,0.00
