Year,Month,Product,State,Requirement(in' MT),Availability(in' MT),,,
2014-2015,August,NPK,Jammu and Kashmir,0.00,0.00,,,
2014-2015,August,TSP,Jammu and Kashmir,0.00,0.00,,,
2014-2015,August,UREA,Jammu and Kashmir,0.00,2649.90,,,
2014-2015,August,SSP,Jammu and Kashmir,0.00,0.00,,,
2014-2015,August,DAP,Jharkhand,5500.00,2898.00,,,
2014-2015,August,MAP,Jharkhand,0.00,0.00,,,
2014-2015,August,MOP,Jharkhand,0.00,108.00,,,
2014-2015,August,NPK,Jharkhand,2500.00,1656.50,,,
2014-2015,August,TSP,Jharkhand,0.00,0.00,,,
2014-2015,August,UREA,Jharkhand,20000.00,5689.50,,,
2014-2015,August,SSP,Jharkhand,0.00,0.00,,,
2014-2015,August,DAP,Karnataka,60000.000,31750.95,,,
2014-2015,August,MAP,Karnataka,0.00,0.00,,,
2014-2015,August,MOP,Karnataka,45000.00,25276.37,,,
2014-2015,August,NPK,Karnataka,120000.00,77688.89,,,
2014-2015,August,TSP,Karnataka,0.00,11905.40,,,
2014-2015,August,UREA,Karnataka,184000.00,13288.30,,,
2014-2015,August,SSP,Karnataka,10000.00,0.00,,,
2014-2015,August,DAP,Kerala,0.00,1674.35,,,
2014-2015,August,MAP,Kerala,0.00,0.00,,,
2014-2015,August,MOP,Kerala,0.00,2400.03,,,
2014-2015,August,NPK,Kerala,0.00,17867.02,,,
2014-2015,August,TSP,Kerala,0.00,3156.75,,,
2014-2015,August,UREA,Kerala,0.00,1005.85,,,
2014-2015,August,SSP,Kerala,0.00,0.00,,,
2014-2015,August,DAP,Lakshadweep,0.00,0.00,,,
2014-2015,August,MAP,Lakshadweep,0.00,0.00,,,
2014-2015,August,MOP,Lakshadweep,0.00,0.00,,,
2014-2015,August,NPK,Lakshadweep,0.00,0.00,,,
2014-2015,August,TSP,Lakshadweep,0.00,0.00,,,
2014-2015,August,UREA,Lakshadweep,0.00,0.00,,,
2014-2015,August,SSP,Lakshadweep,0.00,0.00,,,
2014-2015,August,DAP,Madhya Pradesh,0.00,76202.47,,,
2014-2015,August,MAP,Madhya Pradesh,0.00,0.00,,,
2014-2015,August,MOP,Madhya Pradesh,0.00,18514.15,,,
